id,name,lat,lon
1,A Coruña,43.36,-8.41
2,Albacete,38.99,-1.86
3,Alicante,38.35,-0.49
4,Badajoz,38.88,-6.97
5,Barcelona,41.39,2.17
6,Burgos,42.34,-3.69
7,Castellón,39.98,-0.06
8,Ciudad Real,38.99,-3.93
9,Cuenca,40.07,-2.13
10,Cáceres,39.48,-6.37
11,Cádiz,36.53,-6.29
12,Córdoba,37.88,-4.78
13,Girona,41.98,2.82
14,Granada,37.18,-3.6
15,Guadalajara,40.63,-3.17
16,Huesca,42.14,-0.41
17,León,42.6,-5.57
18,Lleida,41.62,0.62
19,Madrid,40.42,-3.7
20,Murcia,37.99,-1.13
21,Málaga,36.72,-4.42
22,Ourense,42.34,-7.86
23,Oviedo,43.36,-5.85
24,Palencia,42.01,-4.53
25,Pontevedra,42.43,-8.64
26,Segovia,40.95,-4.12
27,Sevilla,37.39,-5.99
28,Tarragona,41.12,1.25
29,Toledo,39.86,-4.02
30,Valencia,39.47,-0.38
31,Valladolid,41.65,-5.10
32,Zamora,40.5,-5.74
33,Zaragoza,41.65,-0.88
